c_articolo	d_articolo	a_p	lt	scrt	giac_d01	giac_d20	giac_d32	giac_d48	giac_d60	giac_d81	disp_d01	ord_mpp	ord_mp	ord_mc	dom_mc	dom_ms	dom_msa	dom_mss	off_mc	off_ms	off_msa	off_mss
0AC10000	KIT TAPPI PER GDT-9610	P	#EMPTY	0.00	36.00	#EMPTY	#EMPTY	#EMPTY	#EMPTY	0.00	#EMPTY	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0AC100ED	DOCKING STATION AT-2060      2USB 2.0 1DB9 1LAN	A	#EMPTY	0.00	1.00	#EMPTY	#EMPTY	#EMPTY	#EMPTY	#EMPTY	#EMPTY	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0AC100GL	DOCKING STATION PER TABLET   RUGGED AT-2055 10,1"IPS N4120	A	60	0.00	10.00	#EMPTY	#EMPTY	#EMPTY	#EMPTY	0.00	#EMPTY	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0AC100IN	CASSETTO PORTA DENARO 50X28  NERO	A	45	3.00	26.00	#EMPTY	#EMPTY	#EMPTY	#EMPTY	#EMPTY	#EMPTY	0.00	0.00	4.00	5.00	9.00	3.00	0.00	0.00	0.00	25.00	0.00
0AC100IY	KIT WIRELESS LAN MINI PCI-E  PER MRI (J1900)	A	90	0.00	1.00	#EMPTY	#EMPTY	#EMPTY	#EMPTY	#EMPTY	#EMPTY	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0AC100MP	MAGNETE GOMMA DIAMETRO 22 MM	A	20	200.00	846.00	#EMPTY	#EMPTY	#EMPTY	#EMPTY	#EMPTY	46.00	0.00	0.00	0.00	0.00	300.00	300.00	1200.00	0.00	0.00	0.00	1000.00
0AC100NE	BARCODE SCANNER 2D FM80      SALOMON	A	10	0.00	1.00	#EMPTY	#EMPTY	#EMPTY	#EMPTY	0.00	#EMPTY	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0AC100TT	WIFI ANTENNA MHF4 L30CM	A	7	100.00	88.00	#EMPTY	0.00	#EMPTY	2.00	1.00	82.00	8.00	86.00	36.00	6.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0AC101AU	DVD DRIVERS COLLECTION PER   GPU 1660 ESAOTE (509029400)	A	30	0.00	9.00	#EMPTY	#EMPTY	#EMPTY	#EMPTY	#EMPTY	#EMPTY	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0AC101ED	VEHICLE MOUNT KIT AT-2060	A	#EMPTY	0.00	1.00	#EMPTY	#EMPTY	#EMPTY	#EMPTY	0.00	#EMPTY	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
